Station Name,Genre,URL
PoP_181fM: The Point,"Pop, Mainstream",http://relay.181.fm:8010
PoP_181fM: UK Top 40,"Pop, UK, Charts",http://relay.181.fm:8070
OldieS_181fM: Beatles,"Oldies, Classic Rock, Beatles",http://relay.181.fm:8062
OldieS_181fM: Classic Hits,"Oldies, Classic Hits ",http://relay.181.fm:8132
OldieS_+A87:A116181fM: Good Time Oldies,"Oldies, Classic Rock",http://relay.181.fm:8046
OldieS_181fM: Mellow Gold,"Oldies, Soft Rock",http://relay.181.fm:8060
OldieS_181fM: Soul,"Soul, R&B",http://relay.181.fm:8058
OldieS_181fM: Super 70s,"Oldies, 70s",http://relay.181.fm:8066
LatiN_181fM: Reggae Roots,Reggae,http://relay.181.fm:8096
LatiN_181fM: Salsa,"Salsa, Latin",http://relay.181.fm:8098
EasY_181fM: Acid Jazz,"Jazz, Acid Jazz",http://icyrelay.181.fm/181-acidjazz_128k.mp3
EasY_181fM: Bebop,"Jazz, Bebop",http://icyrelay.181.fm/181-bebop_128k.mp3
EasY_181fM: Classical Guitar,"Classical, Guitar ",http://icyrelay.181.fm/181-classicalguitar_128k.mp3
EasY_181fM: Classical Jazz,"Jazz, Classical Jazz",http://icyrelay.181.fm/181-classicaljazz_128k.mp3
EasY_181fM: Classical Music,Classical,http://icyrelay.181.fm/181-classical_128k.mp3
EasY_181fM: Fusion Jazz,"Jazz, Fusion",http://icyrelay.181.fm/181-fusionjazz_128k.mp3
EasY_181fM: Sensual World,"World Music, Sensual ",http://icyrelay.181.fm/181-sensual_128k.mp3
EasY_181fM: The Breeze,"Easy Listening, Smooth Jazz",http://relay.181.fm:8004
EasY_181fM: Trance Jazz,"Jazz, Trance Jazz ",http://icyrelay.181.fm/181-trancejazz_128k.mp3
EasY_181fM: True Blues,Blues ,http://icyrelay.181.fm/181-blues_128k.mp3
EasY_181fM: Vocal Jazz,"Jazz, Vocal Jazz",http://icyrelay.181.fm/181-vocals_128k.mp3
CountrY_181fM: Front Porch,"Country, Traditional Country",http://relay.181.fm:8016
CountrY_181fM: Highway 181,Country,http://relay.181.fm:8018
CountrY_181fM: Kickin' Country,"Country, Contemporary Country",http://relay.181.fm:8130
CountrY_181fM: Real Country,Country ,http://relay.181.fm:8034
CountrY_181fM: US 181,Country,http://relay.181.fm:8056
ComedY_181fM: Comedy Club,Comedy,http://relay.181.fm:8026
NinetY_181fM: 90's Alternative,"Alternative, 90s ",http://relay.181.fm:8052
NinetY_181fM: 90's Country,"Country, 90s",http://relay.181.fm:8050
NinetY_181fM: 90's Dance,"Dance, 90s",http://relay.181.fm:8140
NinetY_181fM: Lite 90's,"Pop, Adult Contemporary, 90s",http://relay.181.fm:8048
NinetY_181fM: Star 90's,"Pop, 90s",http://relay.181.fm:8012
EightY_181fM: 80's Country,"Country, 80s",http://relay.181.fm:8134
EightY_181fM: Awesome 80's,"Pop, 80s",http://relay.181.fm:8000
EightY_181fM: Lite 80's,"Pop, Adult Contemporary, 80s",http://relay.181.fm:8040
BlueS: 12 Bar,"Blues, Traditional Blues ",http://listen.radionomy.com:80/12Bar
BlueS: A Better Classic Blues Vintage Station,Blues ,http://streaming.radionomy.com/A-Better-Classic-Blues-Vintage-Station
BlueS: A Blues Dream,Blues,http://streaming.radionomy.com/ABLUESDREAM-Classic-NewBlues24H
BlueS: Aardvark Blues FM,Blues,http://74.208.45.146:8639/stream
BlueS: AcousticFM,"Blues, Acoustic Blues",http://listen.radionomy.com/Acoustic-FM
BlueS: Best Blues I Know,Blues,http://streaming.radionomy.com/BestBluesIKnow
BlueS: Blues Radio,Blues  ,http://185.33.22.13:8030
BlueS: Cocktelera Blues,Blues ,http://streaming.radionomy.com/Cocktelera-Blues
BlueS: Con Alma de Blues,Blues ,http://listen.radionomy.com/Con-Alma-de-Blues
BlueS: Funky Blues,"Blues, Funky Blues ",http://streaming.radionomy.com/FunkyBlues
BollywooD: bollywood radio & beyond,"Bollywood, Indian",http://96.31.83.86:8084
BollywooD: Bombay Beats India Radio,"Bollywood, Indian",http://205.164.62.15:8017/
BollywooD: Desi Music Mix,"Bollywood, Indian",http://desimusicmix.com:8000/HQ
BollywooD: Hungama-Bollywood-Hits,"Bollywood, Indian",http://123.176.41.8:8056
BollywooD: Hungama-Bollywood-Retro,"Bollywood, Indian Retro",http://123.176.41.8:8132
BollywooD: Indo-Caribbean Radio,"World Music, Caribbean, Indian  ",http://208.43.9.96:8652
BollywooD: Radio Afsana,"Bollywood, Indian",http://174.36.206.197:8198/
BollywooD: Radio Dhinchak,"Bollywood, Indian ",http://167.114.131.90:5404/stream
BollywooD: Sur Station,"Bollywood, Indian",http://streaming208.radionomy.com:80/SurStation-HindiMelodiousSongs
BollywooD: Taal FM Radio,"Bollywood, Indian",http://streaming207.radionomy.com:80/TaalFMRadio
ClassicaL: 1000 Classical Hits,Classical,http://streaming.radionomy.com/1000ClassicalHits
ClassicaL: A Better Classical Station,Classical,http://streaming.radionomy.com/A-Better-Classical-Station
ClassicaL: AMADEUS-FRIENDS Classical Radio,Classical,http://streaming.radionomy.com/AMADEUS-FRIENDS-ClassicalRadio
ClassicaL: Ambiance Classique,Classical,http://listen.radionomy.com/Ambiance-classique
ClassicaL: Classical Music America,Classical ,http://streaming.radionomy.com/Classicalmusicamericacom
ClassicaL: Classical Ways,Classical ,http://listen.radionomy.com/classicalways
ClassicaL: Pure Classic Ireland,"Classical, Irish ",http://206.217.201.136:8036
ClassicaL: Smooth Riviera,"Classical, Easy Listening ",http://streaming.radionomy.com/SMOOTH-RIVIERA
ClassicaL: Venice Classic Radio Italia,"Classical, Italian",http://109.123.116.202:8010/stream
ClassicaL: WKSU 3 Classical,Classical ,http://66.225.205.8:8030
CountrY: 1071 WNIH,Country ,http://listen.radionomy.com/1071WNIH
CountrY: A Better Country Station,Country,http://streaming.radionomy.com/a-better-country-station
CountrY: A Country Dream,Country,http://streaming.radionomy.com/ACOUNTRYDREAM-Western24H
CountrY: A1 Country,Country ,http://streaming.radionomy.com/A1Country-AllAmericanCountryRadio
CountrY: Abacus FM Country,Country ,http://streaming.radionomy.com/AbacusfmCountry
CountrY: Absolutely Country Hits Radio,Country,http://185.33.22.15:7800
CountrY: Always Country,Country,http://208.85.240.89:80
CountrY: Big R Radio - Country Gold,"Country, Classic Country",http://107.155.126.42:8230
CountrY: Nashville Edge,"Country, Contemporary Country ",http://streaming.radionomy.com/NashvilleEdge
CountrY: The Buffalo,"Country, Alternative Country",http://listen.radionomy.com/The-Buffalo
ElectroniC: 100 DJAY,"Electronic, Dance",http://streaming.radionomy.com/100-DJAY
ElectroniC: Air Lounge,"Electronic, Ambient, Chillout",http://streaming.radionomy.com/air-lounge
ElectroniC: Ambient Sleeping Pill,"Electronic, Ambient",http://50.7.96.138:8530/stream
ElectroniC: Chill One,"Electronic, Chillout",http://streaming.radionomy.com/CHILL-ONE
ElectroniC: Electric FM,"Electronic, Dance",http://streaming.streamonomy.com/ElectricFM
ElectroniC: Ibiza Global Radio,"Electronic, House, Ibiza",http://37.59.254.25:8024
ElectroniC: Radio MyMe,Electronic,http://streaming.radionomy.com/radiomyme-tv
ElectroniC: Radio Seven,Electronic,http://188.65.152.205:80
ElectroniC: Radio Staart,Electronic ,http://listen.radionomy.com/RADIOSTAART
ElectroniC: Top Club,"Electronic, Dance",http://listen.radionomy.com/TopClub
HitS: 1 Beats,"Dance, Electronic ",http://streaming.radionomy.com/-1Beats
HitS: 1 Hits,"Dance, Electronic ",http://streaming.radionomy.com/-1Hits
HitS: 100 Hit Radio,"Dance, Electronic",http://streaming.radionomy.com/100-HIT-radio
HitS: American Top40,"Pop, Top 40",http://listen.radionomy.com/AMERICANTOP40
HitS: ANTENNE BAYERN Top 40,"Pop, Top 40, German",http://mp3channels.webradio.antenne.de:80/top-40
HitS: Hits and Beats,"Dance, Electronic ",http://streaming.radionomy.com/HitsandBeats
HitS: Hot40 Music,"Pop, Top 40 ",http://listen.radionomy.com/Hot40Music
HitS: NJOY HIT40,"Pop, Top 40, German",http://listen.radionomy.com/njoyhit40
HitS: Our World Pop,Pop,http://streaming.radionomy.com/OurWorld-Pop
HitS: Yes! 91.2,Pop,http://46.4.65.194:8039
JazZ: 4U Smooth Jazz,"Jazz, Smooth Jazz",http://streaming.radionomy.com/4u-smooth-jazz
JazZ: A Jazz Dream,Jazz ,http://streaming.radionomy.com/AJAZZDREAM-Classic-NewJazz24H
JazZ: Abaco Libros Y Cafe Radio,Jazz,http://listen.radionomy.com/-BACO-LIBROS-Y-CAF--RADIO
JazZ: Audiophile Jazz,Jazz ,http://50.7.173.162:8014
JazZ: Bay Smooth Jazz Radio,"Jazz, Smooth Jazz",http://185.33.22.15:9010
JazZ: Best of Jazz,Jazz,http://streaming.radionomy.com/BestofJazz-LudwigRadiocom
JazZ: Dinner Jazz Excursion,Jazz ,http://64.78.234.165:8240
JazZ: Jazz 4 Ever,Jazz,http://streaming.radionomy.com/Jazz4ever
JazZ: Jazz Lovers,Jazz ,http://streaming.radionomy.com/jazzlovers
JazZ: The Jazz Groove,Jazz,http://199.180.72.2:8015
ListeneR: AI-Radio,"Experimental, Electronic",http://ai-radio.org/128.ogg
ListeneR: C89.5 FM,"Talk Radio, Alternative ",http://208.76.152.74:8000
ListeneR: CHIRP Radio,"Community Radio, Independent Radio",http://chirpradio.org/stream
